Broncos Year	Broncos Win	Broncos Defense	Broncos Attack	Broncos Margin	Broncos Home	Broncos Versus	Broncos Round	Roosters Year	Roosters Win	Roosters Defense	Roosters Attack	Roosters Margin	Roosters Home	Roosters Versus	Roosters Round	Wests Tigers Year	Wests Tigers Win	Wests Tigers Defense	Wests Tigers Attack	Wests Tigers Margin	Wests Tigers Home	Wests Tigers Versus	Wests Tigers Round	Rabbitohs Year	Rabbitohs Win	Rabbitohs Defense	Rabbitohs Attack	Rabbitohs Margin	Rabbitohs Home	Rabbitohs Versus	Rabbitohs Round	Storm Year	Storm Win	Storm Defense	Storm Attack	Storm Margin	Storm Home	Storm Versus	Storm Round	Eels Year	Eels Win	Eels Defense	Eels Attack	Eels Margin	Eels Home	Eels Versus	Eels Round	Raiders Year	Raiders Win	Raiders Defense	Raiders Attack	Raiders Margin	Raiders Home	Raiders Versus	Raiders Round	Knights Year	Knights Win	Knights Defense	Knights Attack	Knights Margin	Knights Home	Knights Versus	Knights Round	Dragons Year	Dragons Win	Dragons Defense	Dragons Attack	Dragons Margin	Dragons Home	Dragons Versus	Dragons Round	Sea Eagles Year	Sea Eagles Win	Sea Eagles Defense	Sea Eagles Attack	Sea Eagles Margin	Sea Eagles Home	Sea Eagles Versus	Sea Eagles Round	Panthers Year	Panthers Win	Panthers Defense	Panthers Attack	Panthers Margin	Panthers Home	Panthers Versus	Panthers Round	Sharks Year	Sharks Win	Sharks Defense	Sharks Attack	Sharks Margin	Sharks Home	Sharks Versus	Sharks Round	Bulldogs Year	Bulldogs Win	Bulldogs Defense	Bulldogs Attack	Bulldogs Margin	Bulldogs Home	Bulldogs Versus	Bulldogs Round	Dolphins Year	Dolphins Win	Dolphins Defense	Dolphins Attack	Dolphins Margin	Dolphins Home	Dolphins Versus	Dolphins Round	Titans Year	Titans Win	Titans Defense	Titans Attack	Titans Margin	Titans Home	Titans Versus	Titans Round	Cowboys Year	Cowboys Win	Cowboys Defense	Cowboys Attack	Cowboys Margin	Cowboys Home	Cowboys Versus	Cowboys Round	Warriors Year	Warriors Win	Warriors Defense	Warriors Attack	Warriors Margin	Warriors Home	Warriors Versus	Warriors Round
2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23	2023	-1	-1	-1	0	-1	-1	23
2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24	2023	-1	-1	-1	0	-1	-1	24
2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25	2023	-1	-1	-1	0	-1	-1	25
2023	1	12	13	1	0	10	1	2023	0	28	18	-10	0	13	1	2023	0	22	10	-12	1	14	1	2023	1	18	27	9	0	11	1	2023	1	12	16	4	0	5	1	2023	0	16	12	-4	1	4	1	2023	0	19	18	-1	0	15	1	2023	0	20	12	-8	0	16	1	2023	-1	-1	-1	0	-1	-1	1	2023	1	6	31	25	1	12	1	2023	0	13	12	-1	1	0	1	2023	0	27	18	-9	1	3	1	2023	0	31	6	-25	0	9	1	2023	1	18	28	10	1	1	1	2023	1	10	22	12	0	2	1	2023	1	18	19	1	1	6	1	2023	1	12	20	8	1	7	1
2023	1	16	28	12	1	15	2	2023	1	12	20	8	1	16	2	2023	0	14	12	-2	1	7	2	2023	0	16	10	-6	0	10	2	2023	0	26	12	-14	1	12	2	2023	0	30	26	-4	1	11	2	2023	0	20	14	-6	0	13	2	2023	1	12	14	2	0	2	2	2023	1	18	32	14	1	14	2	2023	-1	-1	-1	0	-1	-1	2	2023	1	10	16	6	1	3	2	2023	1	26	30	4	0	5	2	2023	1	12	26	14	0	4	2	2023	1	14	20	6	1	6	2	2023	0	32	18	-14	0	8	2	2023	0	28	16	-12	0	0	2	2023	0	20	12	-8	0	1	2
2023	1	18	40	22	1	8	3	2023	1	18	20	2	1	3	3	2023	0	26	22	-4	0	12	3	2023	0	20	18	-2	0	1	3	2023	0	38	34	-4	0	14	3	2023	0	34	30	-4	0	9	3	2023	1	20	24	4	1	11	3	2023	0	36	20	-16	1	13	3	2023	0	40	18	-22	0	0	3	2023	1	30	34	4	1	5	3	2023	-1	-1	-1	0	-1	-1	3	2023	0	24	20	-4	0	6	3	2023	1	22	26	4	1	2	3	2023	1	20	36	16	0	7	3	2023	1	34	38	4	1	4	3	2023	0	26	12	-14	1	16	3	2023	1	12	26	14	0	15	3
2023	1	12	18	6	0	13	4	2023	-1	-1	-1	0	-1	-1	4	2023	0	24	12	-12	0	4	4	2023	1	12	13	1	1	9	4	2023	1	12	24	12	1	2	4	2023	1	16	17	1	1	10	4	2023	0	24	14	-10	0	7	4	2023	1	14	24	10	1	6	4	2023	0	40	8	-32	1	11	4	2023	0	13	12	-1	0	3	4	2023	0	17	16	-1	0	5	4	2023	1	8	40	32	0	8	4	2023	0	16	14	-2	0	16	4	2023	0	18	12	-6	1	0	4	2023	0	24	12	-12	0	15	4	2023	1	12	24	12	1	14	4	2023	1	14	16	2	1	12	4
2023	1	12	46	34	1	2	5	2023	1	20	28	8	1	5	5	2023	0	46	12	-34	0	0	5	2023	0	18	10	-8	1	4	5	2023	1	10	18	8	0	3	5	2023	0	28	20	-8	0	1	5	2023	0	53	12	-41	1	10	5	2023	1	32	32	0	0	9	5	2023	1	12	38	26	1	13	5	2023	1	32	32	0	1	7	5	2023	1	12	53	41	0	6	5	2023	0	32	30	-2	1	16	5	2023	1	14	15	1	1	15	5	2023	0	38	12	-26	0	8	5	2023	-1	-1	-1	0	-1	-1	5	2023	0	15	14	-1	0	12	5	2023	1	30	32	2	0	11	5
2023	0	20	14	-6	1	6	6	2023	0	28	8	-20	0	4	6	2023	0	28	22	-6	1	5	6	2023	1	16	50	34	0	12	6	2023	1	8	28	20	1	1	6	2023	1	22	28	6	0	2	6	2023	1	14	20	6	0	0	6	2023	1	24	34	10	1	16	6	2023	0	20	18	-2	0	14	6	2023	0	44	12	-32	0	10	6	2023	1	12	44	32	1	9	6	2023	-1	-1	-1	0	-1	-1	6	2023	0	50	16	-34	1	3	6	2023	1	22	32	10	0	15	6	2023	1	18	20	2	1	8	6	2023	0	32	22	-10	1	13	6	2023	0	34	24	-10	0	7	6
2023	1	26	43	17	0	14	7	2023	0	22	12	-10	0	11	7	2023	-1	-1	-1	0	-1	-1	7	2023	1	14	36	22	0	13	7	2023	0	18	8	-10	0	9	7	2023	1	4	30	26	1	12	7	2023	1	14	20	6	1	8	7	2023	0	16	15	-1	1	10	7	2023	0	20	14	-6	0	6	7	2023	1	8	18	10	1	4	7	2023	1	15	16	1	0	7	7	2023	1	12	22	10	1	1	7	2023	0	30	4	-26	0	5	7	2023	0	36	14	-22	1	3	7	2023	0	43	26	-17	1	0	7	2023	0	22	14	-8	0	16	7	2023	1	14	22	8	1	15	7
2023	1	16	26	10	0	5	8	2023	1	26	27	1	1	8	8	2023	0	22	16	-6	1	9	8	2023	1	18	20	2	1	10	8	2023	1	22	30	8	1	16	8	2023	0	26	16	-10	1	0	8	2023	-1	-1	-1	0	-1	-1	8	2023	0	18	16	-2	0	15	8	2023	0	27	26	-1	0	1	8	2023	1	16	22	6	0	2	8	2023	0	20	18	-2	0	3	8	2023	1	20	33	13	0	12	8	2023	0	33	20	-13	1	11	8	2023	1	26	28	2	1	14	8	2023	0	28	26	-2	0	13	8	2023	1	16	18	2	1	7	8	2023	0	30	22	-8	0	4	8
2023	0	32	6	-26	1	3	9	2023	1	0	14	14	0	16	9	2023	1	8	12	4	0	10	9	2023	1	6	32	26	0	0	9	2023	-1	-1	-1	0	-1	-1	9	2023	1	12	43	31	1	7	9	2023	1	30	31	1	1	13	9	2023	0	43	12	-31	0	5	9	2023	0	18	16	-2	1	12	9	2023	0	26	10	-16	1	14	9	2023	0	12	8	-4	1	2	9	2023	1	6	44	38	1	15	9	2023	1	16	18	2	0	8	9	2023	0	31	30	-1	0	6	9	2023	1	10	26	16	0	9	9	2023	0	44	6	-38	0	11	9	2023	0	14	0	-14	1	1	9
